,date,close,high,low,open,volume
2728,2010-11-05,239.8699951171875,240.5,239.1699981689453,239.1699981689453,439900
2729,2010-11-08,242.85000610351562,243.6199951171875,238.58999633789062,238.85000610351562,400400
2730,2010-11-09,243.0,243.66000366210938,242.0500030517578,243.0500030517578,328600
2731,2010-11-10,248.9499969482422,249.52999877929688,242.8699951171875,243.22000122070312,729800
2732,2010-11-11,252.08999633789062,252.47999572753906,248.5500030517578,248.9600067138672,617400
2733,2010-11-12,250.67999267578125,252.39999389648438,249.35000610351562,251.2100067138672,340600
2734,2010-11-15,251.38999938964844,253.47000122070312,250.8800048828125,251.5500030517578,389800
2735,2010-11-16,249.0,252.8800048828125,248.60000610351562,250.7899932861328,338400
2736,2010-11-17,249.22999572753906,250.6999969482422,248.1699981689453,249.13999938964844,329600
2737,2010-11-18,251.1699981689453,253.5,251.13999938964844,251.7100067138672,369700
2738,2010-11-19,251.1999969482422,251.85000610351562,250.33999633789062,250.9499969482422,375700
2739,2010-11-22,255.64999389648438,256.0,250.77000427246094,250.77000427246094,426900
2740,2010-11-23,254.91000366210938,255.1300048828125,250.9199981689453,254.30999755859375,248200
2741,2010-11-24,259.1400146484375,259.1400146484375,255.30999755859375,255.30999755859375,281100
2742,2010-11-26,259.4800109863281,259.75,257.17999267578125,258.05999755859375,162600
2743,2010-11-29,257.79998779296875,259.5199890136719,255.22999572753906,259.2200012207031,353500
2744,2010-11-30,259.4100036621094,260.25,256.7200012207031,256.8699951171875,429500
2745,2010-12-01,260.55999755859375,262.0,259.7300109863281,261.8900146484375,362300
2746,2010-12-02,263.20001220703125,263.489990234375,259.9100036621094,260.9599914550781,271100
2747,2010-12-03,265.20001220703125,265.489990234375,262.3999938964844,263.20001220703125,360500
2748,2010-12-06,261.9100036621094,266.25,261.7699890136719,265.989990234375,750600
2749,2010-12-07,260.1499938964844,271.2699890136719,255.94000244140625,270.30999755859375,1553900
2750,2010-12-08,262.57000732421875,263.260009765625,259.3999938964844,260.489990234375,521200
2751,2010-12-09,263.8999938964844,264.6099853515625,260.7200012207031,262.6099853515625,301000
2752,2010-12-10,264.739990234375,264.95001220703125,262.4200134277344,263.57000732421875,239500
2753,2010-12-13,264.5,266.2900085449219,264.4800109863281,264.9100036621094,336200
